zip_code,latitude,longitude,city,state,county
10001,40.750422,-73.996328,New York,NY,New York
10002,40.718758,-73.986427,New York,NY,New York
10003,40.730223,-73.988564,New York,NY,New York
10004,40.696355,-74.025276,New York,NY,New York
10005,40.706903,-74.008654,New York,NY,New York
10006,40.708834,-74.013168,New York,NY,New York
10007,40.713941,-74.007401,New York,NY,New York
10008,40.780751,-73.977182,New York,NY,New York
10009,40.72775,-73.980396,New York,NY,New York
10010,40.739024,-73.983542,New York,NY,New York
10011,40.740916,-73.999769,New York,NY,New York
10012,40.729124,-73.991582,New York,NY,New York
10013,40.722105,-74.003497,New York,NY,New York
10014,40.738088,-74.005095,New York,NY,New York
10015,40.780751,-73.977182,New York,NY,New York
10016,40.745527,-73.978449,New York,NY,New York
10017,40.752955,-73.973196,New York,NY,New York
10018,40.755332,-73.993172,New York,NY,New York
10019,40.765926,-73.985443,New York,NY,New York
10020,40.735449,-73.996788,New York,NY,New York
10021,40.768823,-73.960257,New York,NY,New York
10022,40.758775,-73.967842,New York,NY,New York
10023,40.776765,-73.982213,New York,NY,New York
10024,40.80813,-73.965653,New York,NY,New York
10025,40.798664,-73.967778,New York,NY,New York
10026,40.802918,-73.953107,New York,NY,New York
10027,40.812242,-73.9532,New York,NY,New York
10028,40.776629,-73.953914,New York,NY,New York
10029,40.791884,-73.943517,New York,NY,New York
10030,40.818474,-73.94329,New York,NY,New York
10031,40.823438,-73.949039,New York,NY,New York
10032,40.839137,-73.942181,New York,NY,New York
10033,40.851293,-73.934764,New York,NY,New York
10034,40.863194,-73.926959,New York,NY,New York
10035,40.801913,-73.9347,New York,NY,New York
10036,40.75953,-73.989847,New York,NY,New York
10037,40.813884,-73.938498,New York,NY,New York
10038,40.710223,-74.003368,New York,NY,New York
10039,40.826736,-73.939398,New York,NY,New York
10040,40.858692,-73.930999,New York,NY,New York
10041,40.703801,-74.009814,New York,NY,New York
10043,40.780751,-73.977182,New York,NY,New York
10044,40.761812,-73.950521,New York,NY,New York
10045,40.70859,-74.008687,New York,NY,New York
10046,40.780751,-73.977182,New York,NY,New York
10047,40.780751,-73.977182,New York,NY,New York
10048,40.71254,-74.013289,New York,NY,New York
10055,40.780751,-73.977182,New York,NY,New York
10060,40.780751,-73.977182,New York,NY,New York
10069,40.777952,-73.988381,New York,NY,New York
10072,40.780751,-73.977182,New York,NY,New York
10079,40.780751,-73.977182,New York,NY,New York
10080,40.780751,-73.977182,New York,NY,New York
10081,40.780751,-73.977182,New York,NY,New York
10082,40.780751,-73.977182,New York,NY,New York
10087,40.780751,-73.977182,New York,NY,New York
10090,40.780751,-73.977182,New York,NY,New York
10094,40.780751,-73.977182,New York,NY,New York
10095,40.748181,-73.988421,New York,NY,New York
10096,40.780751,-73.977182,New York,NY,New York
10098,40.748181,-73.988421,New York,NY,New York
10099,40.780751,-73.977182,New York,NY,New York
10101,40.780751,-73.977182,New York,NY,New York
10102,40.780751,-73.977182,New York,NY,New York
10103,40.760264,-73.97624,New York,NY,New York
10104,40.760943,-73.979908,New York,NY,New York
10105,40.762808,-73.978534,New York,NY,New York
10106,40.765243,-73.980438,New York,NY,New York
10107,40.766429,-73.982728,New York,NY,New York
10108,40.780751,-73.977182,New York,NY,New York
10109,40.780751,-73.977182,New York,NY,New York
10110,40.753987,-73.980811,New York,NY,New York
10111,40.759224,-73.977762,New York,NY,New York
10112,40.759287,-73.979808,New York,NY,New York
10113,40.780751,-73.977182,New York,NY,New York
10114,40.780751,-73.977182,New York,NY,New York
10115,40.811115,-73.96423,New York,NY,New York
10116,40.780751,-73.977182,New York,NY,New York
10117,40.780751,-73.977182,New York,NY,New York
10118,40.748998,-73.986467,New York,NY,New York
10119,40.780751,-73.977182,New York,NY,New York
10120,40.750629,-73.989426,New York,NY,New York
10121,40.74964,-73.991889,New York,NY,New York
10122,40.751757,-73.992171,New York,NY,New York
10123,40.751489,-73.990537,New York,NY,New York
10124,40.780751,-73.977182,New York,NY,New York
10125,40.780751,-73.977182,New York,NY,New York
10126,40.780751,-73.977182,New York,NY,New York
10128,40.780989,-73.95158,New York,NY,New York
10129,40.780751,-73.977182,New York,NY,New York
10130,40.780751,-73.977182,New York,NY,New York
10131,40.780751,-73.977182,New York,NY,New York
10132,40.780751,-73.977182,New York,NY,New York
10133,40.780751,-73.977182,New York,NY,New York
10138,40.780751,-73.977182,New York,NY,New York
10149,40.780751,-73.977182,New York,NY,New York
10150,40.780751,-73.977182,New York,NY,New York
10151,40.763419,-73.973971,New York,NY,New York
10152,40.758937,-73.97302,New York,NY,New York
10153,40.764068,-73.97348,New York,NY,New York
10154,40.758304,-73.973468,New York,NY,New York
10155,40.761104,-73.968036,New York,NY,New York
10156,40.780751,-73.977182,New York,NY,New York
10157,40.780751,-73.977182,New York,NY,New York
10158,40.749435,-73.9758,New York,NY,New York
10159,40.780751,-73.977182,New York,NY,New York
10160,40.780751,-73.977182,New York,NY,New York
10161,40.780751,-73.977182,New York,NY,New York
10162,40.769945,-73.951117,New York,NY,New York
10163,40.780751,-73.977182,New York,NY,New York
10164,40.780751,-73.977182,New York,NY,New York
10165,40.752351,-73.979132,New York,NY,New York
10166,40.754591,-73.976238,New York,NY,New York
10167,40.754858,-73.97497,New York,NY,New York
10168,40.751933,-73.976794,New York,NY,New York
10169,40.75474,-73.976595,New York,NY,New York
10170,40.752621,-73.97548,New York,NY,New York
10171,40.756447,-73.974821,New York,NY,New York
10172,40.755839,-73.975279,New York,NY,New York
10173,40.754305,-73.979564,New York,NY,New York
10174,40.751656,-73.97516,New York,NY,New York
10175,40.754305,-73.979782,New York,NY,New York
10176,40.75557,-73.978877,New York,NY,New York
10177,40.755332,-73.976082,New York,NY,New York
10178,40.751378,-73.978507,New York,NY,New York
10179,40.780751,-73.977182,New York,NY,New York
10184,40.780751,-73.977182,New York,NY,New York
10185,40.780751,-73.977182,New York,NY,New York
10196,40.780751,-73.977182,New York,NY,New York
10197,40.780751,-73.977182,New York,NY,New York
10199,40.750308,-74.00058,New York,NY,New York
10203,40.780751,-73.977182,New York,NY,New York
10211,40.780751,-73.977182,New York,NY,New York
10212,40.780751,-73.977182,New York,NY,New York
10213,40.780751,-73.977182,New York,NY,New York
10242,40.780751,-73.977182,New York,NY,New York
10249,40.780751,-73.977182,New York,NY,New York
10256,40.780751,-73.977182,New York,NY,New York
10257,40.780751,-73.977182,New York,NY,New York
10258,40.780751,-73.977182,New York,NY,New York
10259,40.780751,-73.977182,New York,NY,New York
10260,40.780751,-73.977182,New York,NY,New York
10261,40.780751,-73.977182,New York,NY,New York
10265,40.780751,-73.977182,New York,NY,New York
10268,40.780751,-73.977182,New York,NY,New York
10269,40.780751,-73.977182,New York,NY,New York
10270,40.706925,-74.008154,New York,NY,New York
10271,40.708918,-74.011066,New York,NY,New York
10272,40.780751,-73.977182,New York,NY,New York
10273,40.780751,-73.977182,New York,NY,New York
10274,40.780751,-73.977182,New York,NY,New York
10275,40.780751,-73.977182,New York,NY,New York
10276,40.780751,-73.977182,New York,NY,New York
10277,40.780751,-73.977182,New York,NY,New York
10278,40.780751,-73.977182,New York,NY,New York
10279,40.712697,-74.007812,New York,NY,New York
10280,40.708857,-74.016217,New York,NY,New York
10281,40.714643,-74.014958,New York,NY,New York
10282,40.716597,-74.01459,New York,NY,New York
10285,40.71533,-74.016306,New York,NY,New York
10286,40.714231,-74.011895,New York,NY,New York
10292,40.780751,-73.977182,New York,NY,New York
10301,40.623632,-74.093323,Staten Island,NY,Richmond
10302,40.628923,-74.137947,Staten Island,NY,Richmond
10303,40.631697,-74.165016,Staten Island,NY,Richmond
10304,40.608389,-74.093684,Staten Island,NY,Richmond
10305,40.596828,-74.077837,Staten Island,NY,Richmond
10306,40.559668,-74.12241,Staten Island,NY,Richmond
10307,40.510723,-74.24194,Staten Island,NY,Richmond
10308,40.551191,-74.148893,Staten Island,NY,Richmond
10309,40.531767,-74.218779,Staten Island,NY,Richmond
10310,40.632943,-74.118669,Staten Island,NY,Richmond
10311,40.605245,-74.179485,Staten Island,NY,Richmond
10312,40.545163,-74.174692,Staten Island,NY,Richmond
10313,40.564393,-74.146836,Staten Island,NY,Richmond
10314,40.591006,-74.150741,Staten Island,NY,Richmond
10451,40.819329,-73.920355,Bronx,NY,Bronx
10452,40.838729,-73.921605,Bronx,NY,Bronx
10453,40.852728,-73.912455,Bronx,NY,Bronx
10454,40.807129,-73.918405,Bronx,NY,Bronx
10455,40.815029,-73.908355,Bronx,NY,Bronx
10456,40.830529,-73.908655,Bronx,NY,Bronx
10457,40.846129,-73.898255,Bronx,NY,Bronx
10458,40.864728,-73.889855,Bronx,NY,Bronx
10459,40.825629,-73.893605,Bronx,NY,Bronx
10460,40.841829,-73.879004,Bronx,NY,Bronx
10461,40.845279,-73.843103,Bronx,NY,Bronx
10462,40.842729,-73.854703,Bronx,NY,Bronx
10463,40.879528,-73.904355,Bronx,NY,Bronx
10464,40.863028,-73.799802,Bronx,NY,Bronx
10465,40.826879,-73.825153,Bronx,NY,Bronx
10466,40.859878,-73.841003,Bronx,NY,Bronx
10467,40.876328,-73.870404,Bronx,NY,Bronx
10468,40.870978,-73.900505,Bronx,NY,Bronx
10469,40.869978,-73.844903,Bronx,NY,Bronx
10470,40.87143,-73.862303,Bronx,NY,Bronx
10471,40.899178,-73.898677,Bronx,NY,Bronx
10472,40.829529,-73.865704,Bronx,NY,Bronx
10473,40.816229,-73.860304,Bronx,NY,Bronx
10474,40.813929,-73.884104,Bronx,NY,Bronx
10475,40.874878,-73.827653,Bronx,NY,Bronx
10499,40.851549,-73.840908,Bronx,NY,Bronx
11004,40.745263,-73.711159,Glen Oaks,NY,Queens
11005,40.757057,-73.7182,Floral Park,NY,Queens
11101,40.744622,-73.934502,Long Island City,NY,Queens
11102,40.770808,-73.92516,Astoria,NY,Queens
11103,40.761884,-73.911642,Astoria,NY,Queens
11104,40.742794,-73.918216,Sunnyside,NY,Queens
11105,40.776468,-73.908761,Astoria,NY,Queens
11106,40.760601,-73.930984,Astoria,NY,Queens
11109,40.651378,-73.870779,Long Island City,NY,Queens
11120,40.651378,-73.870779,Long Island City,NY,Queens
11201,40.694481,-73.989319,Brooklyn,NY,Kings
11202,40.645099,-73.945032,Brooklyn,NY,Kings
11203,40.663551,-73.949389,Brooklyn,NY,Kings
11204,40.603838,-73.987635,Brooklyn,NY,Kings
11205,40.682507,-73.936274,Brooklyn,NY,Kings
11206,40.700453,-73.949255,Brooklyn,NY,Kings
11207,40.670925,-73.895216,Brooklyn,NY,Kings
11208,40.662195,-73.912945,Brooklyn,NY,Kings
11209,40.622459,-74.028749,Brooklyn,NY,Kings
11210,40.625468,-73.945521,Brooklyn,NY,Kings
11211,40.707789,-73.945344,Brooklyn,NY,Kings
11212,40.663845,-73.916406,Brooklyn,NY,Kings
11213,40.67317,-73.936055,Brooklyn,NY,Kings
11214,40.599523,-73.998594,Brooklyn,NY,Kings
11215,40.664322,-73.984132,Brooklyn,NY,Kings
11216,40.680474,-73.946829,Brooklyn,NY,Kings
11217,40.684948,-73.980613,Brooklyn,NY,Kings
11218,40.64434,-73.978411,Brooklyn,NY,Kings
11219,40.633157,-73.996953,Brooklyn,NY,Kings
11220,40.634873,-74.016905,Brooklyn,NY,Kings
11221,40.700418,-73.936764,Brooklyn,NY,Kings
11222,40.728388,-73.945754,Brooklyn,NY,Kings
11223,40.633801,-73.954405,Brooklyn,NY,Kings
11224,40.635444,-73.968536,Brooklyn,NY,Kings
11225,40.661096,-73.952295,Brooklyn,NY,Kings
11226,40.644962,-73.956304,Brooklyn,NY,Kings
11228,40.624552,-73.989853,Brooklyn,NY,Kings
11229,40.600988,-73.939998,Brooklyn,NY,Kings
11230,40.62251,-73.966109,Brooklyn,NY,Kings
11231,40.676521,-74.003322,Brooklyn,NY,Kings
11232,40.671186,-73.971708,Brooklyn,NY,Kings
11233,40.682088,-73.920638,Brooklyn,NY,Kings
11234,40.610947,-73.913892,Brooklyn,NY,Kings
11235,40.584455,-73.948402,Brooklyn,NY,Kings
11236,40.65701,-73.91581,Brooklyn,NY,Kings
11237,40.702192,-73.91807,Brooklyn,NY,Kings
11238,40.680593,-73.963928,Brooklyn,NY,Kings
11239,40.649207,-73.876754,Brooklyn,NY,Kings
11240,40.645099,-73.945032,Brooklyn,NY,Kings
11241,40.645099,-73.945032,Brooklyn,NY,Kings
11242,40.645099,-73.945032,Brooklyn,NY,Kings
11243,40.645099,-73.945032,Brooklyn,NY,Kings
11244,40.645099,-73.945032,Brooklyn,NY,Kings
11245,40.645099,-73.945032,Brooklyn,NY,Kings
11247,40.645099,-73.945032,Brooklyn,NY,Kings
11248,40.645099,-73.945032,Brooklyn,NY,Kings
11249,40.645099,-73.945032,Brooklyn,NY,Kings
11251,40.645099,-73.945032,Brooklyn,NY,Kings
11252,40.645099,-73.945032,Brooklyn,NY,Kings
11254,40.645099,-73.945032,Brooklyn,NY,Kings
11255,40.645099,-73.945032,Brooklyn,NY,Kings
11256,40.645099,-73.945032,Brooklyn,NY,Kings
11351,40.781703,-73.831698,Flushing,NY,Queens
11352,40.651378,-73.870779,Flushing,NY,Queens
11354,40.766382,-73.82619,Flushing,NY,Queens
11355,40.750317,-73.813903,Flushing,NY,Queens
11356,40.784369,-73.843641,College Point,NY,Queens
11357,40.786173,-73.819069,Whitestone,NY,Queens
11358,40.760426,-73.795788,Flushing,NY,Queens
11359,40.79278,-73.776701,Bayside,NY,Queens
11360,40.756745,-73.803301,Bayside,NY,Queens
11361,40.764438,-73.773026,Bayside,NY,Queens
11362,40.758364,-73.735759,Little Neck,NY,Queens
11363,40.771467,-73.745323,Little Neck,NY,Queens
11364,40.742772,-73.758831,Oakland Gardens,NY,Queens
11365,40.738884,-73.790067,Fresh Meadows,NY,Queens
11366,40.727277,-73.790772,Fresh Meadows,NY,Queens
11367,40.730164,-73.821997,Flushing,NY,Queens
11368,40.748751,-73.854333,Corona,NY,Queens
11369,40.762741,-73.869969,East Elmhurst,NY,Queens
11370,40.763771,-73.891451,East Elmhurst,NY,Queens
11371,40.7712,-73.867514,Flushing,NY,Queens
11372,40.751146,-73.882508,Jackson Heights,NY,Queens
11373,40.73509,-73.877562,Elmhurst,NY,Queens
11374,40.722861,-73.862069,Rego Park,NY,Queens
11375,40.723041,-73.843688,Forest Hills,NY,Queens
11377,40.748372,-73.905445,Woodside,NY,Queens
11378,40.722848,-73.908413,Maspeth,NY,Queens
11379,40.71924,-73.892791,Middle Village,NY,Queens
11380,40.651378,-73.870779,Elmhurst,NY,Queens
11381,40.651378,-73.870779,Flushing,NY,Queens
11385,40.702404,-73.885979,Ridgewood,NY,Queens
11386,40.651378,-73.870779,Ridgewood,NY,Queens
11390,40.651378,-73.870779,Flushing,NY,Queens
11405,40.651378,-73.870779,Jamaica,NY,Queens
11411,40.685535,-73.737064,Cambria Heights,NY,Queens
11412,40.695829,-73.761747,Saint Albans,NY,Queens
11413,40.664542,-73.755926,Springfield Gardens,NY,Queens
11414,40.658825,-73.84382,Howard Beach,NY,Queens
11415,40.707133,-73.829247,Kew Gardens,NY,Queens
11416,40.684546,-73.850708,Ozone Park,NY,Queens
11417,40.675056,-73.844315,Ozone Park,NY,Queens
11418,40.698566,-73.83127,Richmond Hill,NY,Queens
11419,40.686769,-73.822979,South Richmond Hill,NY,Queens
11420,40.674432,-73.819013,South Ozone Park,NY,Queens
11421,40.691917,-73.85666,Woodhaven,NY,Queens
11422,40.659418,-73.736866,Rosedale,NY,Queens
11423,40.716888,-73.766897,Hollis,NY,Queens
11424,40.651378,-73.870779,Jamaica,NY,Queens
11425,40.651378,-73.870779,Jamaica,NY,Queens
11426,40.736798,-73.723176,Bellerose,NY,Queens
11427,40.729293,-73.749811,Queens Village,NY,Queens
11428,40.720639,-73.742099,Queens Village,NY,Queens
11429,40.710076,-73.740151,Queens Village,NY,Queens
11430,40.655246,-73.797769,Jamaica,NY,Queens
11431,40.686903,-73.850143,Jamaica,NY,Queens
11432,40.714531,-73.794435,Jamaica,NY,Queens
11433,40.696533,-73.786776,Jamaica,NY,Queens
11434,40.674583,-73.78156,Jamaica,NY,Queens
11435,40.700229,-73.797278,Jamaica,NY,Queens
11436,40.675283,-73.800696,Jamaica,NY,Queens
11439,40.722008,-73.790822,Jamaica,NY,Queens
11451,40.651378,-73.870779,Jamaica,NY,Queens
11484,40.651378,-73.870779,Jamaica,NY,Queens
11499,40.651378,-73.870779,Jamaica,NY,Queens
11690,40.651378,-73.870779,Far Rockaway,NY,Queens
11691,40.601475,-73.76191,Far Rockaway,NY,Queens
11692,40.5923,-73.793273,Arverne,NY,Queens
11693,40.59846,-73.81427,Far Rockaway,NY,Queens
11694,40.57661,-73.84276,Rockaway Park,NY,Queens
11695,40.651378,-73.870779,Far Rockaway,NY,Queens
11697,40.559365,-73.906713,Breezy Point,NY,Queens
